Event	ID	Name			Wwise Object Path	Notes
	65769146	Play_Background_music			\Default Work Unit\Play_Background_music	
	1087172201	StartEngine			\Default Work Unit\StartEngine	
	1129509700	BlockPickup			\Default Work Unit\BlockPickup	
	1970298975	BlockPlacement_wrong			\Default Work Unit\BlockPlacement_wrong	
	2168726175	BlockPlacement_good			\Default Work Unit\BlockPlacement_good	
	2389703494	Boost			\Default Work Unit\Boost	
	2644790697	UI_Move			\Default Work Unit\UI_Move	
	2651855531	Tractor_Impact			\Default Work Unit\Tractor_Impact	
	2687994736	Block_break			\Default Work Unit\Block_break	
	2858266821	UI_Confirmation			\Default Work Unit\UI_Confirmation	
	3181923571	House_complete			\Default Work Unit\House_complete	
	3321968461	Block_rotation			\Default Work Unit\Block_rotation	
	3880659236	Beever_Shout			\Default Work Unit\Beever_Shout	

Switch Group	ID	Name			Wwise Object Path	Notes
	3563163787	HouseStage			\Default Work Unit\HouseStage	

Switch	ID	Name	Switch Group			Notes
	936729720	Stage3	HouseStage			
	936729721	Stage2	HouseStage			
	936729722	Stage1	HouseStage			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1628677964	Tractor_RPM			\Default Work Unit\Tractor_RPM	
	3163037145	Percent_Volume			\Default Work Unit\Percent_Volume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10334656	UI_move_1	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\UI_move_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_move_1		40952
	45075551	Block_pickup_7	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Block_pickup\Block_pickup_7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_pickup\Block_pickup_7		47920
	64093899	Wood_break	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Wood_cracking_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wood_break		136000
	82698494	Block_pickup_8	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Block_pickup\Block_pickup_8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_pickup\Block_pickup_8		38908
	85677800	Block_pickup_3	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Block_pickup\Block_pickup_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_pickup\Block_pickup_3		57804
	199149642	Block_pickup_4	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Block_pickup\Block_pickup_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_pickup\Block_pickup_4		49624
	315713164	Beever_1	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Beever_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BeaverShout\Beever_1		166164
	340237515	mechanical_shovel_4	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\mechanical_shovel_4_B65EC232.wem		\Actor-Mixer Hierarchy\Default Work Unit\mechanical_shovel_4		102072
	348403944	Background_music	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Background_music_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Background_music		27021376
	371128280	Rotation_block	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Rotation_block_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Rotation_block		61096
	376461705	Block_pickup_2	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Block_pickup\Block_pickup_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_pickup\Block_pickup_2		91740
	381341711	Wrong_placement_8	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\Wrong_placement_8_70E971B9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wrong_placement_8		98160
	419324749	RewardSound_1	C:\Users\emile\Unity Projects\TropicalPenguinsGlobalGameJam\Wwise-TropicalPengouin\.cache\Windows\SFX\RewardSound_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reward\RewardSound_1		420300
